Date,Open,High,Low,Close,Adj Close,Volume
2022-04-05,80.050003,82.809998,80.050003,81.050003,76.222824,361900
2022-04-06,81.110001,81.639999,79.959999,81.000000,76.175789,192200
2022-04-07,81.639999,81.955002,80.660004,81.349998,76.504944,240500
2022-04-08,81.440002,82.419998,80.680000,82.389999,77.483002,196000
2022-04-11,82.000000,82.995003,81.070000,81.889999,77.012794,256100
2022-04-12,82.160004,85.389999,82.160004,84.040001,79.034737,216900
2022-04-13,84.339996,86.470001,84.129997,85.750000,80.642883,322800
2022-04-14,85.720001,88.294998,85.720001,87.709999,82.486153,363500
2022-04-18,87.980003,89.419998,87.475998,88.779999,83.492424,462900
2022-04-19,88.980003,91.059998,88.830002,89.639999,84.301216,496500
2022-04-20,89.889999,91.000000,84.419998,84.889999,79.834114,445600
2022-04-21,85.489998,87.339996,85.205002,85.839996,80.727524,308400
2022-04-22,85.290001,87.000000,84.730003,85.639999,80.539436,169700
2022-04-25,83.639999,85.059998,81.790001,85.050003,79.984589,284300
2022-04-26,84.809998,85.730003,83.239998,84.050003,79.044144,315300
2022-04-27,83.610001,86.349998,83.389999,85.449997,80.360748,242300
2022-04-28,86.070000,86.070000,82.809998,84.129997,79.119370,218200
2022-04-29,84.379997,84.699997,83.370003,84.339996,79.316856,216300
2022-05-02,83.889999,86.720001,83.556999,85.919998,80.802757,212900
2022-05-03,85.699997,87.930000,85.699997,87.300003,82.100578,128000
2022-05-04,87.760002,88.042999,84.934998,87.559998,82.345085,309400
2022-05-05,77.099998,83.010002,71.330002,79.010002,74.304314,1526000
2022-05-06,78.690002,79.271004,75.019997,77.279999,72.677345,665900
2022-05-09,76.080002,76.980003,71.339996,73.800003,69.404610,899600
2022-05-10,74.190002,75.705002,68.050003,68.570000,64.486099,790300
2022-05-11,67.820000,68.699997,64.680000,65.239998,61.354427,479900
2022-05-12,65.500000,69.269997,64.050003,67.309998,63.301140,566200
2022-05-13,67.010002,70.610001,67.010002,67.440002,64.287766,348500
2022-05-16,67.279999,71.620003,67.279999,71.389999,68.053131,260000
2022-05-17,72.870003,74.949997,72.750000,74.760002,71.265617,270900
2022-05-18,74.029999,74.667000,71.989998,72.860001,69.454430,264900
2022-05-19,71.980003,73.250000,71.330002,72.730003,69.330513,263000
2022-05-20,73.589996,74.540001,72.570000,74.360001,70.884315,373300
2022-05-23,74.519997,74.764999,73.589996,74.019997,70.560204,238400
2022-05-24,73.839996,75.410004,72.717003,74.769997,71.275146,335300
2022-05-25,74.519997,76.050003,74.519997,75.599998,72.066360,282100
2022-05-26,76.320000,77.889999,75.239998,76.139999,72.581108,190700
2022-05-27,76.070000,78.019997,76.070000,77.879997,74.239784,202000
2022-05-31,78.480003,79.379997,76.379997,77.889999,74.249321,1079400
2022-06-01,78.000000,78.660004,74.529999,76.169998,72.609711,347100
2022-06-02,75.910004,80.650002,75.529999,80.500000,76.737328,441500
2022-06-03,80.339996,80.339996,77.485001,77.930000,74.287453,265900
2022-06-06,79.290001,79.489998,76.360001,77.709999,74.077736,275700
2022-06-07,76.349998,77.320000,73.860001,76.559998,72.981483,345200
2022-06-08,76.279999,76.709999,74.330002,74.519997,71.036835,301800
2022-06-09,74.480003,74.480003,71.639999,71.830002,68.472580,432200
2022-06-10,70.570000,71.709999,69.190002,71.519997,68.177063,369400
2022-06-13,71.000000,71.404999,65.370003,66.949997,63.820660,1109400
2022-06-14,67.040001,67.747002,62.060001,63.209999,60.255478,579100
2022-06-15,63.720001,65.309998,62.470001,64.010002,61.018089,411800
2022-06-16,62.450001,64.449997,60.639999,61.180000,58.320366,588800
2022-06-17,61.240002,63.290001,58.060001,58.680000,55.937218,1982100
2022-06-21,59.639999,63.740002,59.619999,61.480000,58.606342,503300
2022-06-22,60.150002,61.610001,59.270000,60.240002,57.424305,350500
